Month,Department,Electricity_kWh,Fuel_Liters,Travel_km,Waste_kg,Renewable_Energy_kWh,CO2_Emission_Tons
Jan,IT,2400,120,600,80,500,2.80
Feb,IT,2500,130,650,85,520,2.95
Mar,IT,2600,140,700,90,540,3.10
Apr,IT,2700,145,750,92,560,3.25
May,IT,2800,150,800,95,580,3.40
Jun,IT,2900,155,820,98,600,3.55
Jan,HR,1800,80,350,60,400,1.95
Feb,HR,1850,85,380,62,420,2.05
Mar,HR,1900,90,400,65,430,2.15
Apr,HR,2000,95,420,68,450,2.25
May,HR,2100,100,450,70,470,2.35
Jun,HR,2200,105,480,72,490,2.45
Jan,Finance,2100,100,450,70,450,2.35
Feb,Finance,2200,105,470,72,470,2.45
Mar,Finance,2250,110,500,75,490,2.55
Apr,Finance,2350,115,530,78,510,2.65
May,Finance,2450,120,560,80,530,2.80
Jun,Finance,2550,125,600,82,550,2.95
Jan,Production,4000,250,1200,180,700,5.60
Feb,Production,4200,260,1250,185,720,5.85
Mar,Production,4400,270,1300,190,740,6.10
Apr,Production,4600,280,1350,195,760,6.35
May,Production,4800,290,1400,200,780,6.60
Jun,Production,5000,300,1450,210,800,6.90
Jan,Logistics,3500,220,1500,140,600,4.90
Feb,Logistics,3600,225,1550,145,620,5.05
Mar,Logistics,3700,230,1600,150,640,5.20
Apr,Logistics,3800,240,1650,155,660,5.35
May,Logistics,3900,250,1700,160,680,5.50
Jun,Logistics,4000,260,1750,165,700,5.70
Jan,Operations,3000,180,900,120,550,4.00
Feb,Operations,3100,185,950,125,570,4.15
Mar,Operations,3200,190,1000,130,590,4.30
Apr,Operations,3300,195,1050,135,610,4.45
May,Operations,3400,200,1100,140,630,4.60
Jun,Operations,3500,205,1150,145,650,4.75
Jan,Marketing,1700,70,800,50,350,2.10
Feb,Marketing,1750,75,850,52,370,2.20
Mar,Marketing,1800,80,900,55,390,2.30
Apr,Marketing,1900,85,950,58,410,2.45
May,Marketing,2000,90,1000,60,430,2.60
Jun,Marketing,2100,95,1050,62,450,2.75
Jan,Admin,1600,60,300,45,320,1.75
Feb,Admin,1650,65,320,48,340,1.85
Mar,Admin,1700,70,340,50,360,1.95
Apr,Admin,1750,75,360,52,380,2.05
May,Admin,1800,80,380,55,400,2.15
Jun,Admin,1850,85,400,58,420,2.25
