Country,Year,CO2_Emissions,Energy_Consumption,Population,Industry_Emissions,Renewable_Energy_Percentage
India,2018,2200,780,1353,950,18
India,2019,2300,810,1366,980,19
India,2020,2400,850,1380,1020,20
India,2021,2550,890,1395,1080,21
India,2022,2700,930,1410,1150,22
USA,2018,4300,3700,327,2200,17
USA,2019,4400,3800,329,2250,18
USA,2020,4500,3900,331,2300,19
USA,2021,4700,4000,333,2350,20
USA,2022,4800,4100,335,2400,21
China,2018,9200,4800,1393,5200,24
China,2019,9500,5000,1400,5400,25
China,2020,9800,5200,1441,5600,26
China,2021,10200,5400,1444,5900,27
China,2022,10500,5600,1448,6200,28
Germany,2018,600,1100,82.8,280,34
Germany,2019,620,1150,82.9,290,35
Germany,2020,650,1200,83.0,300,36
Germany,2021,680,1250,83.2,320,37
Germany,2022,700,1280,83.4,340,38
Japan,2018,1000,1700,126.5,500,20
Japan,2019,1050,1750,126.0,520,21
Japan,2020,1100,1800,125.8,540,22
Japan,2021,1150,1850,124.8,560,23
Japan,2022,1180,1880,124.5,580,24
United Kingdom,2018,420,900,66.4,180,38
United Kingdom,2019,430,920,66.8,185,39
United Kingdom,2020,440,950,67.0,190,40
United Kingdom,2021,450,980,67.3,195,41
United Kingdom,2022,470,1000,67.5,200,42
France,2018,350,850,65.0,150,42
France,2019,360,870,65.2,155,43
France,2020,370,890,65.4,160,44
France,2021,380,910,65.6,165,45
France,2022,390,930,65.8,170,46
Canada,2018,550,1200,37.1,250,30
Canada,2019,570,1220,37.4,260,31
Canada,2020,590,1240,37.7,270,32
Canada,2021,610,1260,38.0,280,33
Canada,2022,630,1280,38.3,290,34
Australia,2018,410,950,25.0,190,24
Australia,2019,420,980,25.3,195,25
Australia,2020,430,1000,25.6,200,26
Australia,2021,450,1030,25.8,210,27
Australia,2022,470,1060,26.0,220,28
Brazil,2018,500,850,209,220,45
Brazil,2019,520,880,211,230,46
Brazil,2020,540,900,213,240,47
Brazil,2021,560,930,214,250,48
Brazil,2022,580,960,215,260,49
South Korea,2018,650,1300,51.2,320,12
South Korea,2019,670,1330,51.4,330,13
South Korea,2020,690,1360,51.6,340,14
South Korea,2021,710,1390,51.8,350,15
South Korea,2022,730,1420,52.0,360,16
