Machine_ID,Department,Operating_Hours,Temperature,Vibration,Pressure,Humidity,Downtime_Hours,Maintenance_Cost,Failure_Count
M001,Production,1200,65,2.1,30,55,8,1200,2
M002,Production,1400,72,3.0,35,60,12,1800,3
M003,Assembly,900,60,1.8,28,50,4,800,1
M004,Assembly,1700,80,4.2,40,65,20,2500,5
M005,Packaging,1300,68,2.5,33,58,10,1500,2
M006,Packaging,1900,85,4.8,45,70,25,3000,6
M007,Production,1000,62,2.0,29,52,5,900,1
M008,Assembly,1600,78,3.9,39,63,18,2300,4
M009,Packaging,1500,75,3.5,37,61,14,2000,3
M010,Production,1800,82,4.5,43,68,22,2800,5
M011,Assembly,1100,64,2.2,31,54,7,1100,2
M012,Packaging,1450,73,3.2,36,59,13,1900,3
M013,Production,950,59,1.7,27,49,3,700,1
M014,Assembly,1750,81,4.3,41,66,21,2600,5
M015,Packaging,1250,67,2.4,32,57,9,1400,2
M016,Production,1950,87,5.0,46,72,27,3200,6
M017,Assembly,1050,63,2.1,30,53,6,1000,1
M018,Packaging,1650,79,4.0,40,64,19,2400,4
M019,Production,1550,76,3.7,38,62,15,2100,3
M020,Assembly,1850,84,4.7,44,69,24,2900,5
M021,Packaging,1150,66,2.3,31,56,8,1300,2
M022,Production,2000,88,5.2,47,73,28,3400,7
M023,Assembly,980,61,1.9,29,51,4,850,1
M024,Packaging,1720,80,4.1,41,65,20,2550,5
M025,Production,1420,71,3.1,35,60,11,1750,3
M026,Assembly,1350,69,2.8,34,58,10,1600,2
M027,Packaging,1880,86,4.9,45,71,26,3100,6
M028,Production,1020,62,2.0,30,52,5,950,1
M029,Assembly,1580,77,3.8,39,63,17,2250,4
M030,Packaging,1480,74,3.4,37,61,13,1950,3
M031,Production,1810,83,4.6,43,68,23,2850,5
M032,Assembly,1120,64,2.2,31,54,7,1150,2
M033,Packaging,1460,73,3.3,36,59,12,1850,3
M034,Production,970,60,1.8,28,50,3,750,1
M035,Assembly,1760,82,4.4,42,66,22,2700,5
M036,Packaging,1260,67,2.5,32,57,9,1450,2
M037,Production,1960,89,5.1,47,73,29,3300,7
M038,Assembly,1060,63,2.1,30,53,6,1050,1
M039,Packaging,1660,79,4.0,40,64,18,2350,4
M040,Production,1560,76,3.7,38,62,15,2150,3
M041,Assembly,1180,65,2.3,31,55,8,1250,2
M042,Packaging,2020,90,5.4,48,75,30,3600,8
M043,Production,990,61,1.9,29,51,4,850,1
M044,Assembly,1740,81,4.3,41,66,21,2650,5
M045,Packaging,1440,72,3.2,35,60,11,1800,3
M046,Production,1320,68,2.7,34,58,10,1550,2
M047,Assembly,1890,87,5.0,46,72,27,3150,6
M048,Packaging,1030,62,2.0,30,52,5,950,1
M049,Production,1590,78,3.9,39,63,18,2280,4
M050,Assembly,1490,75,3.5,37,61,14,1980,3
